parameter.desc,ID,units,start.value,lower.bound,upper.bound,parameter.name,group,value,comp.sens
Tributary underflow scalar,1,,1,0.01,4.1,adm,ltrb,1.00E-02,1.005891E-02
Tributary underflow scalar,2,,1,0.01,102.6,ubw,ltrb,21.856,1.097840E-03
Tributary underflow scalar,3,,1,0.01,4,chg,ltrb,1.00E-02,1.748284E-04
Tributary underflow scalar,4,,1,0.01,4,clr,ltrb,1.11E-02,2.106109E-04
Tributary underflow scalar,5,,1,0.01,4,cld,ltrb,0.692403,3.367082E-04
Tributary underflow scalar,6,,1,0.01,15.7,cov,ltrb,2.52207,1.764599E-04
Tributary underflow scalar,7,,1,0.01,6.8,cry,ltrb,1.21912,5.023269E-03
Tributary underflow scalar,8,,1,0.01,10.1,drc,ltrb,1.88215,5.800987E-03
Tributary underflow scalar,9,,1,0.01,3.4,eag,ltrb,3.39862,2.625843E-03
Tributary underflow scalar,10,,1,0.01,50.8,estf,ltrb,1.29787,3.520991E-02
Tributary underflow scalar,11,,1,0.01,48.6,elk,ltrb,1.00E-02,1.807174E-04
Tributary underflow scalar,12,,1,0.01,8.9,grn,ltrb,1.00E-02,3.223998E-02
Tributary underflow scalar,13,,1,0.01,0.8,ins,strb,0.327603,4.028579E-02
Tributary underflow scalar,14,,1,0.01,1.4,lak,strb,1.4359,5.380457E-03
Tributary underflow scalar,15,,1,0.01,4,lee,ltrb,2.98995,9.492796E-05
Tributary underflow scalar,16,,1,0.01,4,ohg,ltrb,1.01E-02,1.788286E-03
Tributary underflow scalar,17,,1,0.01,4,org,ltrb,3.71531,6.195125E-04
Tributary underflow scalar,18,,1,0.01,5.5,qgc,ltrb,0.208358,1.993460E-03
Tributary underflow scalar,19,,1,0.01,1.9,sea,strb,1.45634,1.813975E-03
Tributary underflow scalar,20,,1,0.01,4.7,slh,ltrb,1.00E-02,1.120486E-03
Tributary underflow scalar,21,,1,0.01,4,twn,ltrb,2.31E-02,3.430111E-05
Tributary underflow scalar,22,,1,0.01,7.8,trl,ltrb,4.13083,5.323485E-03
Tributary underflow scalar,23,,1,0.01,74.2,wms,ltrb,3.74629,8.858565E-03
Seasonal amplitude reduction factor,,,2,0.001,10,red,ltrb,10,3.481893E-04
Moving average duration,,d,275,1,730.5,nday,ltrb,248.589,1.669091E-05
